id,journal,abstract
861,I,"The research on halide perovskites is in its peak activity at the moment due to the materials potential application in photovoltaics. It is well known that slow processes, from seconds to minutes, are very significant in perovskite films and devices as compared to conventional photovoltaic materials. The kinetics of photoluminescence (PL) is informative data for studying such processes. In particular, tracing the change in PL intensity under continuous laser excitation provides information on charge carriers recombination and the efficiency of their extraction from the absorber layer. Although widely available, this method was applied mainly for the research on thin films. However, monitoring PL kinetics on complete solar cells as well as on incomplete device stacks at each fabrication and lifespan stage can provide an important information on the device optimization and determination of the layers and interfaces that limit device efficiency and stability. Here, we demonstrate the advantages of the method by tracing the evolution of PL kinetics at seconds-to-minutes timescale upon: (1) varying perovskite composition (MAPbI(3), Cs(0.15)FA(0.85)PbI(2.7)Br(0.3), Cs-0.05(MA(0.15)FA(0.85))(0.95)PbI2.55Br0.45); (2) layer-by-layer stack construction of Cs(0.15)FA(0.85)PbI(2.7)Br(0.3)-based solar cell and (3) the device on-shelf degradation. In this way, information on charge carrier recombination, diffusion and extraction is revealed purely by optical, contactless and non-destructive means."
862,I,"A new class of smart window technologies are gaining interest as they have the functionality to control dynamic solar radiation, shading, ventilation and energy production. They are capable of improving buildings' energy performance by adapting to different climate conditions and bring thermal and visual comfort for occupants. Polymer-dispersed liquid crystal (PDLC) is a smart switchable window that changes its optical transmissions from translucent to transparent when an alternating electric current stimulus is introduced. The present paper discusses the results of an indoor investigation for the optical and thermal performance of a PDLC glazing system. The spectral transmittance of the investigated PDLC was evaluated for both the translucent and transparent states using UV-vis-NIR (1050) spectrophotometer. In addition, the thermal investigation was carried out in an indoor condition utilising a test cell equipped with a small scale of PDLC glazing, which was exposed to (1000, 800, 600, 400 W/m(2)) solar radiation for 180 min. The optical evaluation showed that the investigated PDLC glazing offered low transmission for UV (8%) and NIR (44%) in the translucent state, respectively. The result of SHGC was 0.68 and 0.63 for the transparent and translucent states, respectively, which indicates that the investigated sample could be more effective in reducing heat loads in a cold dominated climate. The U-value for the PDLC glazing was 2.79 W/m(2) for the transparent and 2.44 W/m(2) translucent."
863,I,"Modelling the effects of solar irradiation plays an important role in various applications. This paper describes a semi-parametric (combined grey-box and spline-based), data-driven technique that can be used to model systems in which the solar gain depends on the sun position. The solar gain factor is introduced, i.e. the absorbed fraction of measured solar irradiation, and estimated as a continuous non-parametric function of the sun position. The implementation of the spline-based solar gain factor in a grey-box model framework is described. The method is tested in two case studies-in a model of the internal temperature of a dwelling in Aalborg, Denmark, and a model of the return temperature of a solar collector field in Solrod, Denmark. It is shown that the solar gain factor as a function of sun position is able to account for structural variations in solar gain that may occur due to factors such as shading obstacles and window or absorber orientation. In both test cases, the spline-based solar gain function improved the model accuracy significantly, and largely reduced structural errors in prediction residuals. In addition, the shape of the estimated function provided insight into the dynamics of the system and the local solar input characteristics. Accurate representation of such site characteristics was not possible with any data-driven method found in the literature. Besides the grey-box models used in this study, the solar gain factor can be used in a variety of data-driven models, for example in linear regression models."
864,I,"The aim of the present work was to develop a new type of solar thermal collector tree shape in three dimensions. It is a Solar Thermal Tree (STT) whose branches and trunk consist of tubular absorbers glazed or not. The article presents the validation of the concept with a medium-scale prototype. The numerical modeling of the STT is first described, then the comparison of the experimental and numerical results, the evaluation of the performances based on dimensionless equations, and finally the multi-criteria optimization. The model has been used to identify the dimensionless equations (thermal efficiency and pressure drop) from a small number of parameters. These equations can be used to design the STT for different applications. It also enabled to define optimal solutions (Pareto) by considering the two performance functions in a configuration close to that of the prototype. Optimal solutions are compared with the experiment using the prototype, a solution that minimizes the creation of entropy generated by flow and heat transfer, and a solution based on the Hess-Murray law that minimizes flow resistance in laminar or turbulent flow. The optimization criterion based on entropy generation is the most relevant because the entropy generated by the air flow is very low compared to heat transfer. Also, optimization leads to maximizing thermal efficiency. Finally, the design of a 4 m(2) STT that can be used to preheat the building's fresh air (0 degrees C) has been optimized. This new configuration, based on vacuum tubes has a thermal efficiency of 58%."
865,I,"The cloud enhancement (CE) of solar irradiance is a well-known phenomenon, but its effects on PV power plants are not thoroughly understood. Because of scalability, the diameters of PV generators can vary from some meters up to several hundreds of meters. The output power of a PV generator depends mainly on the irradiance to the PV panels. Therefore, if the irradiance is enhanced, the actual output power might exceed the nominal power. We created a method to estimate the average irradiance over typical land areas of PV generators. The average irradiance over the PV generator land area was used to calculate the frequency, duration and average irradiance of the CE events. The analysis was based on actual irradiance measurement data from an array of pyranometers on an area of 1400 m 2 , which corresponds to the land area of 0.1 MW PV generator. We found out that the focus areas of the CE events have diameters of the order of tens of meters. Therefore, up to 0.1 MW power range, the land area of the PV generator does not greatly affect the maximum average irradiances. In this power range, the average irradiance was measured to be up to 1.5 times the clear-sky irradiance. The CE events affecting utility-scale PV generators were estimated to have maximum average irradiances of 1.4 times the clear-sky irradiance, but the number of these CE events is considerably lower."
866,I,"Photovoltaic modules long-term reliability is a key requirement to keep this technology a commercially interesting option for energy production. The investment return on PV generation system depends, among other factors, on the peculiarities of the system on efficiency reduction caused by environmental action. Technical standards suggest laboratory tests for the qualification and a better understanding on module degradation behavior. Nevertheless, some degradation modes can only be observed after years of field operation. This paper presents the main signs of degradation on crystalline silicon photovoltaic modules caused by outdoor exposure after a period of 15 years in an installation in the city of Porto Alegre, the southernmost state capital city in Brazil. The electric analysis demonstrated that the modules kept 90.5% of their initial power, with an average of degradation rate of 0.7% per year. Some techniques helped the evaluation of defects caused by exposure of the arrays for long periods of operation, such as electroluminescence imaging and I-V curve testing. The most frequent defects found were browning (encapsulant darkening) and cell encapsulant delamination, leading to the anti-reflective layer deterioration. The junction box of one of the modules was detached, allowing the entrance of moisture and resulting in the disconnection of some of the module cells. The electroluminescence technique also provided a better understanding on modes of degradation. Despite the observed evidences of degradation along these 15 years, it can be said that the system remains within the expected operation limits."
867,I,"The carbon based perovskite solar cell (C-PSC) has a strong commercial potential due its low manufacturing cost and its improved stability. A C-PSC consists of three mesoporous layers sandwiched between a Fluorine-doped tin oxide (FTO) substrate as bottom electrode and carbon as top electrode. However, the low conductivity of the two electrodes represents a real challenge when scaling from individual cells to modules. Here, 2D direct current simulation is used to investigate the influence of width of the active area on the performance of a single C-PSC. The same method is used to study the effect of the sub-cell's width, the interconnection's width and the contact resistance at the interconnection on the performance of a 10 sub-cells module connected in series. The intrinsic properties of the carbon cell are taken in account using experimental J(SC) and V-OC as an input to the modelling. The carbon conductivity is found to be critical in defining the optimum geometry. For a 10 Omega/sq carbon sheet resistance, the optimum interconnection width is 500 mu m and the sub cell width is 4.9 mm, leading to an optimum fill factor of 64%."
868,I,"Zero or plus energy office buildings must have very high building standards and require highly efficient energy supply systems due to space limitations for renewable installations. Conventional solar cooling systems use photovoltaic electricity or thermal energy to run either a compression-cooling machine or an absorption-cooling machine in order to produce cooling energy during daytime, while they use electricity from the grid for the nightly cooling energy demand. With a hybrid photovoltaic-thermal collector, electricity as well as thermal energy can be produced at the same time. These collectors can produce also cooling energy at nighttime by long-wave radiation exchange with the night sky and convection losses to the ambient air. Such a renewable trigeneration system offers new fields of applications. However, the technical, ecological and economical aspects of such systems are still largely unexplored. In this work, the potential of a PVT system to heat and cool office buildings in three different climate zones is investigated. In the investigated system, PVT collectors act as a heat source and heat sink for a reversible heat pump. Due to the reduced electricity consumption (from the grid) for heat rejection, the overall efficiency and economics improve compared to a conventional solar cooling system using a reversible air-to-water heat pump as heat and cold source. A parametric simulation study was carried out to evaluate the system design with different PVT surface areas and storage tank volumes to optimize the system for three different climate zones and for two different building standards. It is shown such a systems are technically feasible today. With a maximum utilization of PV electricity for heating, ventilation, air conditioning and other electricity demand such as lighting and plug loads, high solar fractions and primary energy savings can be achieved. Annual costs for such a system are comparable to conventional solar thermal and solar electrical cooling systems. Nevertheless, the economic feasibility strongly depends on country specific energy prices and energy policy. However, even in countries without compensation schemes for energy produced by renewables, this system can still be economically viable today. It could be shown, that a specific system dimensioning can be found at each of the investigated locations worldwide for a valuable economic and ecological operation of an office building with PVT technologies in different system designs."
869,J,"This study aims at highlighting the synthetic versatility of the rhodium-catalyzed C-H amination reactions using iodine(III) oxidants for the late-stage functionalization of natural products. Inter-and intramolecular nitrene insertions have been performed from various abietane diterpenoids, leading to the amination of the C-3, C-6, C-7, C-11 and C-15 positions. Ca. 20 aminated compounds have been isolated with yields of up to 86% and high levels of regio-, chemo-and stereoselectivities.<bold> </bold>"
870,J,"We introduce the concept of Convertible and Constrained Nucleic Acids (C2NAs). By means of the synthesis of a stereocontrolled N-propargyl dioxo-1,3,2-oxaza-phosphorinane as an internucleotidic linkage, the torsional angles alpha and beta can adopt either the canonical (g(-), t) set of values able to increase DNA duplex stability or the non-canonical (g(+), t) set that stabilized the hairpin structure when installed within the loop moiety. With an appended propargyl function on the nitrogen atom of the six-membered ring, the copper catalysed Huisgen's cycloaddition (CuAAC click chemistry) allows for the introduction of new functionalities at any location on the nucleic acid chain while maintaining the properties brought by the geometrical constraint and the neutral internucleotidic linkage."
871,J,"The known azastilbene (E)-1,2-di(quinolin-3-yl)ethane (2a) and the novel azoniastilbene derivatives (E)-2-(2-(naphthalen-2-yl)vinyl)quinolizinium (2b) and (E)-3,3 '-(ethane-1,2-diyl)bis(1-methylquinolinin-1-ium) (2c) were synthesized. Their interactions with duplex and quadruplex DNA (G4-DNA) were studied by photometric, fluorimetric, polarimetric and flow-LD analysis, and by thermal DNA denaturation studies, as well as by H-1-NMR spectroscopy. The main goal of this study was a comparison of these conformationally flexible compounds with the known G4-DNA-binding diazoniadibenzo[b,k]chrysenes, that have a comparable pi-system extent, but a rigid structure. We have observed that the aza- and azoniastilbene derivatives 2a-c, i.e. compounds with almost the same spatial dimensions and steric demand, bind to DNA with an affinity and selectivity that depends significantly on the number of positive charges. Whereas the charge neutral derivative 2a binds unspecifically to the DNA backbone of duplex DNA, the ionic compounds 2b and 2c are typical DNA intercalators. Notably, the bis-quinolinium derivative 2c binds to G4-DNA with moderate affinity (K-b = 4.8 x 10(5) M-1) and also stabilizes the G4-DNA towards thermal denaturation (Delta T-m = 11 degrees C at ligand-DNA ratio = 5.0). Strikingly, the corresponding rigid counterpart, 4a,12a-diazonia-8,16-dimethyldibenzo[b,k]chrysene, stabilizes the G4-DNA to an even greater extent under identical conditions (Delta T-m = 27 degrees C). These results indicate that the increased flexibility of a G4-DNA ligand does not necessarily lead to stronger interactions with the G4-DNA as compared with rigid ligands that have essentially the same size and pi system extent."
872,J,"Hydrocarbon stapled (HCS) peptides are a class of cross-linked alpha-helix mimetics. The technology relies on the use of alpha,alpha '-disubstituted alkenyl amino acids, which fully contrain the helical region to typically yield peptides with enhanced structural ordering and biological activity. Recently, monosubstituted alkenyl amino acids were disclosed for peptide stapling; however, the impact that this tether has on HCS peptide structure and activity has not yet been fully explored. By applying this HCS to the disordered peptide eIF4E-binding protein 1 (4E-BP1), we discovered that this type of tethering has a dramatic effect on olefin geometry and activity of the resultant stapled peptides, where the putative trans isomer was found to exhibit enhanced in vitro and cellular inhibitory activity against eIF4E protein-protein interactions. We further demonstrated that the metathesis catalyst used for ring-closing metathesis can influence monosubstituted HCS peptide activity, presumably through alteration of the cis/trans olefin ratio. This study represents one of the first in-depth analyses of olefin isomers of a stapled peptide and highlights an additional feature for medicinal chemistry optimization of this class of peptide-based probes."
873,J,"Catalytic direct amidation reactions have been the focus of considerable recent research effort, due to the widespread use of amide formation processes in pharmaceutical synthesis. However, the vast majority of catalytic amidations are performed in non-polar solvents (aromatic hydrocarbons, ethers) which are typically undesirable from a sustainability perspective, and are often poor at solubilising polar carboxylic acid and amine substrates. As a consequence, most catalytic amidation protocols are unsuccessful when applied to polar and/or functionalised substrates of the kind commonly used in medicinal chemistry. In this paper we report a practical and useful catalytic direct amidation reaction using tert-butyl acetate as the reaction solvent. The use of an ester solvent offers improvements in terms of safety and sustainability, but also leads to an improved reaction scope with regard to polar substrates and less nucleophilic anilines, both of which are important components of amides used in medicinal chemistry. An amidation reaction was scaled up to 100 mmol and proceeded with excellent yield and efficiency, with a measured process mass intensity of 8."
874,J,"We herein report the first formal (3 + 2)-cyclisation between 3,3,3-trifluoropyruvate-derived imines and indandione-based Michael acceptors. This reaction gives access to a novel class of spirocyclic alpha-CF3-alpha-proline derivatives with complete control of the diastereoselectivity under phase transfer-catalysed reaction conditions."
875,J,"4-Methylenechromanes were prepared via a three-step process from 2-borylated alpha-methylstyrenes. This sequence is based on a key glyoxylate-ene reaction catalyzed by scandium(iii) triflate. The resulting gamma-hydroxy boronates, which cyclise to seven-membered homologues of benzoxaborole on silica gel, were cleanly oxidized with sodium perborate, and then cyclised under Mitsunobu conditions. Additionally, several further functional transformations of 4-methylenechromanes or their precursors were carried out to illustrate the synthetic potential of these intermediates."
876,J,"Pyridinearene macrocycles have previously shown unique host-guest properties in their capsular dimers including endo complexation of neutral molecules and exo complexation of anions. Here, we demonstrate for the first time the formation of hydrogen bonded hexamer of tetraisobutyl-octahydroxypyridinearene in all three states of matter - gas phase, solution and solid-state. Cationic tris(bipyridine)ruthenium(ii) template was found to stabilize the hexamer in gas phase, whereas solvent molecules do this in condensed phases. In solution, the capsular hexamer was found to be the thermodynamically favoured self-assembly product and transition from dimer to hexamer occurred in course of time. The crystal structure of hexamer revealed 24 N-HMIDLINE HORIZONTAL ELLIPSISO direct intermolecular hydrogen bonds between the six pyridinearene macrocycles without any bridging solvent molecules. Hydrogen bond patterns correlate well with DFT computed structures. Thus, all structural chemistry methods (IM-MS, DOSY NMR, DFT, X-ray crystallography) support the same structure of the hexameric capsule that has a diameter of ca. 3 nm and volume of 1160 angstrom(3)."
877,J,"Galactofuranoconjugates are rare compounds with interesting biological properties. Their syntheses by traditional approaches are however tedious. Glycosidases are nowadays often used to simplify such syntheses but the use of galactofuranosidase has not been described yet for the synthesis of galactofuranoconjugates. Interestingly CtAraf51, an alpha-l-arabinofuranosidase from Ruminiclostridium thermocellum, is able to use aryl- or alkyl-beta-d-galactofuranosides as the substrate but with very low efficiency. To allow its use as a synthesis tool, we decided to improve the efficiency of this enzyme toward these non-natural substrates. First, we identified three residues that can contribute to unfavorable interactions with the p-nitrophenyl-beta-d-galactofuranoside. After mutagenesis, two mutants have shown a catalytic efficiency four- and threefold higher than that of the wild type, respectively. These two mutants were then evaluated in the transglycosylation reaction using ethanol as a model acceptor substrate. Under these conditions one mutant was much more efficient: 50% conversion was reached ten times faster than with the WT. Finally both mutants were converted into thioglycoligases: in the thioligation reaction, the reaction was two times faster than with the E173A single mutant, and in the acylation reaction a fourfold increase in the initial velocity was found. The synthetic potential of the resulting mutants to synthesize various O-, S- and acyl galactofuranoconjugates was further evaluated and yields up to 82% were obtained for the synthesis of ethyl- or thiophenyl galactofuranosides and methoxybenzoic galactofuranose."
878,J,"The present study describes the synthesis of the first phenoxycalix[4]pyrrole-epichlorohydrin based polymer. The advantage of the latter resides in its fast-single step synthesis protocol, low cost, water insolubility and its unexpected anion extraction capacity. The study of this polymer by various solid/liquid extractions with halides in aqueous solutions and quantitative ion chromatography analysis showed that unlike other calix[4]pyrrole-based entities, this polymer extracts iodide rather than bromide and fluoride owing to the presence of large extraction pockets. Evidence of an anion exchange process involving preferably chloride and bromide was also highlighted."
879,J,"Proteolysis mediated by ClpXP is a crucial cellular process linked to bacterial pathogenesis. The development of specific inhibitors has largely focused on ClpP. However, this focus was challenged by a recent finding showing that conformational control by ClpX leads to a rejection of ClpP binders. Thus, we here follow up on a hit molecule from a high throughput screen performed against the whole ClpXP complex and demonstrate that stable inhibition with high potency is possible. Further investigations revealed that the small molecule binds to ClpP without affecting its activity. Likewise, the molecule does not inhibit ClpX and retains the overall oligomeric state of ClpXP upon binding. Structure activity relationship studies confirmed structural constraints in all three parts of the molecule suggesting binding into a defined stereospecific pocket. Overall, the inhibition of ClpXP without affecting the individual components represents a novel mechanism with perspectives for further optimization for in situ applications."
880,J,"Free cysteine residues react with QuatCy 1, by simply mixing the protein and dye in aqueous buffer at 37 degrees C. Another dye, MHI-148, can be used for a similar labelling protocol, but QuatCy reacts faster with all proteins studied, except albumin; it emerges here that this is because MHI-148 instantly forms of a non-covalent complex with albumin, but QuatCy does not. Labelling with QuatCy has advantages insofar as it is over five times brighter, and much more photostable, than MHI-148, and combination labelling with this dye pair will allow multiplexing in the near-IR region."
881,J,"Disialosyl globopentaosylceramide (DSGb5) is often expressed by renal cell carcinomas. To investigate properties of DSGb5, we have prepared its oligosaccharide moiety by chemically synthesizing Gb5 which was enzymatically sialylated using the mammalian sialyltransferases ST3Gal1 and ST6GalNAc5. Glycan microarray binding studies indicate that Siglec-7 does not recognize DSGb5, and preferentially binds Neu5Ac alpha(2,8)Neu5Ac containing glycans."
882,J,A modified nucleoside triphosphate bearing two modifications based on a 2 '-deoxy-2 '-fluoro-arabinofuranose sugar and a uracil nucleobase equipped with a C5-ethynyl moiety (5-ethynyl-2 ' F-ANA UTP) was synthesized. This nucleotide analog could enzymatically be incorporated into DNA oligonucleotides by primer extension and reverse transcribed to unmodified DNA. This nucleotide could be used in SELEX for the identification of high binding affinity and nuclease resistant aptamers.
883,J,"Catalytic Z-isomerization of retinoids to their thermodynamically less stable Z-isomer remains a challenge. In this report, we present a photochemical approach for the catalytic Z-isomerization of retinoids using monochromatic wavelength UV irradiation treatment. We have developed a straightforward approach for the synthesis of Z-retinoids in high yield, overcoming common obstacles normally associated with their synthesis. Calculations based on density functional theory (DFT) have allowed us to correlate the experimentally observed Z-isomer distribution of retinoids with the energies of chemically important intermediates, which include ground- and excited-state potential energy surfaces. We also demonstrate the application of the current method by synthesizing gram-scale quantities of 9-cis-retinyl acetate 9Z-a. Operational simplicity and gram-scale ability make this chemistry a very practical solution to the problem of Z-isomer retinoid synthesis."
884,J,"Chiral crystals of the only achiral proteinogenic a-amino acid, glycine induced the asymmetric autocatalysis with amplification of enantiomeric excess (ee). The P31 crystals of.-glycine, which display positive Cotton effect (CD) at around 215 nm, mediate the asymmetric autocatalysis to yield (R)-pyrimidyl alkanol with high ee. In contrast, the enantiomorphic P32 crystals, which display negative Cotton effect, afford (S)-alkanol after the significant amplification of ee by asymmetric autocatalysis."
885,J,"A gold(I)-catalyzed cyclopropane-alkene metathesis has been demonstrated with two new families of cyclopropane derivatives of naphthalene and phenanthrene (benzo-fused norcaradienes). In this process, metal carbene units are transferred from a persistent cyclopropane to an alkene, upon release of naphthalene or phenanthrene, allowing the diastereoselective synthesis of a wide range of aryl and vinyl cyclopropanes."
886,J,"The borylative cyclisation of 1,2-dialkynyl benzenes with BCl3 leads to dibenzopentalenes (via intramolecular SEAr) or benzofulvenes (via chloride addition) depending on substituents, with stabilised vinyl cation intermediates (e.g. with a p-MeO-C6H4-group) favouring the latter. The use of borocations leads to more selective dibenzopentalene formation, while other diyne frameworks undergo intramolecular SEAr selectively even with p-MeO groups."
887,J,Taking inspiration from the assembly of so-called peptoids (N-alkylglycine oligomers) we present a new synthetic methodology whereby N-heterocyclic carbene (NHC) based Pd ligands were assembled using a sub-monomer approach and loaded with Pd via solid-phase synthesis. This allowed the rapid generation a library of NHC-palladium catalysts that were readily functionalised to allow bioconjugation. These catalysts were able to rapidly activate a caged fluorophore and 'switch-on' an anticancer prodrug in 3D cell culture.
888,J,We report the synthesis of three new triazole functionalized acyclic CB[n]-type receptors (2-4) by click chemistry. The compounds have good solubility in water (>= 8 mM) and do not undergo strong self-association (K-s <= 903 M-1). We measured the binding constants of 2-4 toward guests 9-24 and compared the results to those obtained for the prototypical acyclic CB[n]-type receptor 1. The X-ray crystal structure of 4 is also described.
889,J,"The transient receptor potential channel subfamily member 5 (TRPC5) is a calcium permeable cation channel widely expressed in the brain. Accumulating evidence indicates that it plays a crucial role in psychiatric disorders including depression and anxiety. Positron emission tomography (PET) combined with a TRPC5 specific radioligand may provide a unique tool to investigate the functions of TRPC5 in animal disease models to guide drug development targeting TRPC5. To develop a TRPC5 PET radiotracer, the potent TRPC5 inhibitor HC608 was chosen for C-11 radiosynthesis through the N-demethyl amide precursor 7 reacting with [C-11]methyl iodide. Under optimized conditions, [C-11]HC608 was achieved with good radiochemical yield (25 +/- 5%), high chemical and radiochemical purity (>99%), and high specific activity (204-377 GBq mu mol(-1), decay corrected to the end of bombardment, EOB). The in vitro autoradiography study revealed that [C-11]HC608 specifically binds to TRPC5. Moreover, initial in vivo evaluation of [C-11]HC608 performed in rodents and the microPET study in the brain of non-human primates further demonstrated that [C-11]HC608 was able to penetrate the blood brain barrier and sufficiently accumulate in the brain. These results suggest that [C-11]HC608 has the potential to be a PET tracer for imaging TRPC5 in vivo."
890,J,"The bifunctional ligand p-SCN-Bn-HOPO, which has four 1,2-hydroxypyridinone groups on a spermine backbone with an isothiocyanate linker, has been shown to be an efficient and stable chelator for Zr(iv) and, more importantly, the radioisotope Zr-89 for use in radiolabeling antibodies for positron emission tomography (PET) imaging. Previous studies of Zr-89-HOPO-trastuzumab in mice showed low background, good tumor to organ contrast, and very low bone uptake which show p-SCN-Bn-HOPO to be an important next-generation bifunctional chelator for radioimmunoPET imaging with Zr-89. However, the reported synthesis of p-SCN-Bn-HOPO involves nine steps and multiple HPLC purifications with an overall yield of about 1.4%. Herein we report an improved and efficient synthesis of p-SCN-Bn-HOPO in four steps with 14.3% overall yield which will improve its availability for further biological studies and wider application in PET imaging. The new synthetic route also allows variation in linker length and chemistries which may be helpful in modifying in vivo clearance behaviors of future agents."
891,J,"The stereoselective synthesis of chiral macrocycles bearing two aliphatic amide functional groups is reported. After the amidation mediated by TBD, a guanidine derivative, the olefin transposition step is performed with a slight excess of t-BuOK. The products are afforded in moderate to good combined yields (up to 59%) and with an excellent syn diastereoselectivity (dr > 49 : 1). Introducing enantiopure alpha-branched substituents was possible and it resulted in mixtures of diastereomers, which could be tested as phase-transfer catalysts using the formation of a phenylalanine analog as a test reaction (up to 43% ee). A clear matched-mismatched situation was observed in the two diastereomeric series."
892,J,"A straightforward access to tricyclic indoles bearing 3,4-fused seven-membered rings has been established by using 4-aminoindoles as 1,4-bisnucleophiles in three-component reactions. 1H-Azepino[4,3,2-cd]indoles, 4,6-dihydro-1H-azepino[4,3,2-cd]indoles and 1,3,4,6-tetrahydro-5H-azepino[4,3,2-cd]indol-5-ones could thus be synthesized in one pot in moderate to good yields. Beyond opening access to 3,4-fused tricyclic indoles, the use of easily accessible 4-aminoindoles as C,N-1,4-bisnucleophiles also provides a new platform to be used in a diversity-oriented synthesis strategy, fully displaying its benefits of maximizing molecular complexity and reaction diversity."
893,J,"We synthesized self-similar molecules (G3 and G2; based on phenylalkynyl backbones) with symmetrically backfolded shapes inspired by the famous fractal of a Sierpinski triangle. Unlike the more traditional, starburst dendrimers, the centripetal-shaped Sierpinski molecules feature side branches symmetrically bent away from the growth direction of the main branch, thus contrasting the natural-tree shape. Molecule G3 exhibits three distinct levels of the structural hierarchy comprising the primary, secondary and tertiary branches, while the smaller G2 contains only features of the 1(st) and 2(nd) orders. In spite of the much larger conjugated backbone of G3, its solution UV-vis absorption and fluorescence exhibit no red shift relative to G2. In a test of nitrobenzene sensing, a thin film of G3 deposited from THF was more sensitively quenched in fluorescence than the smaller G2."
894,J,"Membranous organelles are major endogenous sources of reactive oxygen and nitrogen species. When present at high levels, these species can cause macromolecular damage and disease. To better detect and scavenge free radical forms of the reactive species at their sources, we investigated whether nitrone spin traps could be selectively targeted to intracellular membranes using a bioorthogonal imaging approach. Electron paramagnetic resonance imaging demonstrated that the novel cyclic nitrone 5-dodecylcarbamoyl-5-N-dodecylacetamide-1-pyroline-N-oxide (diC(12)PO) could be used to target the nitrone moiety to liposomes composed of phosphatidyl choline. To test localization with authentic membranes in living cells, fluorophores were introduced via strain-promoted alkyne-nitrone cycloaddition (SPANC). Two fluorophore-conjugated alkynes were investigated: hexynamide-fluoresceine (HYA-FL) and dibenzylcyclooctyne-PEG4-5/6-sulforhodamine B (DBCO-Rhod). Computational and mass spectrometry experiments confirmed the cycloadduct formation of DBCO-Rhod (but not HYA-FL) with diC(12)PO in cell-free solution. Confocal microscopy of bovine aortic endothelial cells treated sequentially with diC(12)PO and DBCO-Rhod demonstrated clear localization of fluorescence with intracellular membranes. These results indicate that targeting of nitrone spin traps to cellular membranes is feasible, and that a bioorthogonal approach can aid the interrogation of their intracellular compartmentalization properties."
895,J,"Enzyme transition-state mimics can act as powerful inhibitors and allow structural studies that report on the conformation of the transition-state. Here, mannoimidazole, a mimic of the transition state of mannosidase catalyzed hydrolysis of mannosides, is shown to bind in a B-2,B-5 conformation on the Clostridium perfringens GH125 alpha-1,6-mannosidase, providing additional evidence of a S-O(2)-B-2,B-5-S-1(5) conformational itinerary for enzymes of this family."
896,J,"Conjugation of therapeutics to human serum albumin (HSA) using bromomaleimides represents a promising platform for half-life extension. We show here that the Cys-34 crevice substantially reduces the rate of serum stabilising maleimide hydrolysis in these conjugates, necessitating reagent optimisation. This improved reagent design is applied to the construction of an HSA-paclitaxel conjugate, preventing drug loss during maleimide hydrolysis."
897,D,"The fifth assessment report of the Intergovernmental Panel on Climate Change and several studies suggest that climate change is expected to increase food insecurity and poverty in many parts of the world. In this paper, we adopt a microeconometric approach to empirically estimate the impact of climate change-induced hikes in cereal prices on household welfare in Swaziland (also Kingdom of Eswatini). We do so first by econometrically estimating expenditure and price elasticities of five food groups consumed by households in Swaziland using the Almost Ideal Demand System (AIDS), based on data from the 2009/2010 Swaziland Household Income and Expenditure Survey. Second, we use the estimated expenditure and compensated elasticities from the AIDS model, food shares from the household survey, and food price projections developed by the International Food Policy Research Institute (IFPRI) to estimate the proportionate increase in income required to maintain the level of household utility that would have prevailed absent an increase in food prices. Our results show increases in cereal prices due to climate change are expected to double extreme poverty in urban areas and increase poverty in rural areas of the country to staggering levels - between 71 and 75%, compared to 63% before the price changes. Income transfers of between 17.5 and 25.4% of pre-change expenditures are needed to avoid the welfare losses."
898,D,"Potato late blight remains a threat to food security and livelihood of millions of people in Ethiopia. Despite a rapid dispersal of the disease pathogen and farmers' interdependency in managing it, the literature on agricultural extension and communication tends to frame the disease and its management as a problem of the individual farmer. This study appreciates late blight as a collective action problem whose management requires a corresponding re-configuration in information sharing and communicative practices. We employ a framed field game experiment with a mixed quantitative and qualitative method to explore how and to what extent different types and combinations of communicative interventions affect collective action in the management of the disease among farmers in Ethiopia. Interestingly, our quantitative findings revealed that the provision of technical information about interdependency involved in the management of the disease and social monitoring information about the management practices of other farmers negatively affected collective action. However, collective action performance significantly improved when farmers were given the opportunity to interactively communicate about their management strategies. Further qualitative investigation sheds light on how farmers used and made sense of the different communicative interventions to inform and adjust their individual decisions, coordinate collective strategies, pressure free-riders, and develop a shared identity. It is concluded that interventions that mainly promote the provision of technical and social information can be counterproductive in managing collective action problems such as late blight unless it is complemented with interactive communication and deliberation processes."
899,D,"The lockdown in Britain has rendered a large proportion of the population economically vulnerable and has at least quadrupled demand for emergency food relief. This paper looks critically at response to the crisis from the government and the voluntary sector with respect to provision of emergency food. In doing so, it has exposed gaps in understanding of the vagaries of the food supply for certain population groups and systemic weaknesses in the current system of emergency food aid. We make recommendations for healthier governmental capacity to react to a food security crisis, better relationships between the government and the voluntary sector, and further research into the dietary constraints of the precariate. Importantly, the social system needs to be responsive to short-term changes in people's income if people are not to fall into food insecurity."
